source,ref_id,escola,turma,participante_hash,participante_tipo,pontos,acertos,total,tempo_seg,status,occurred_at
jogos,747f4866-756d-41b3-a4a3-bc1795a2bb3a,Escola A,706,75b6aefade603179cf9377964d888bcaf2b690939f7d75f52136fc862439a74e,aluno,625,5,,119,finalizado,2026-06-30 14:55:07.501324-03
jogos,0b1faf27-f932-4b8b-af42-3733e0110086,Escola A,706,75b6aefade603179cf9377964d888bcaf2b690939f7d75f52136fc862439a74e,aluno,2000,1,,96,finalizado,2026-06-30 14:57:35.912257-03
jogos,4f6676f1-bcdb-4392-9d2c-4a14acd004c0,Escola A,706,75b6aefade603179cf9377964d888bcaf2b690939f7d75f52136fc862439a74e,aluno,0,0,,0,em_andamento,2026-06-30 14:59:40.857633-03
jogos,6a13e43a-04b4-44d6-9925-cdd0bd85d79f,Escola A,702,392e517f07e4fc744cb3471e2b919d1a5913a96b59c5b392f5af1e7db16460e6,aluno,1600,8,,110,finalizado,2026-06-30 18:42:13.604228-03
jogos,1e625e39-d4d6-4166-901b-8eb7264a1450,Escola A,702,392e517f07e4fc744cb3471e2b919d1a5913a96b59c5b392f5af1e7db16460e6,aluno,20,15,,513,finalizado,2026-06-30 19:11:46.619896-03
jogos,60cfcb19-3d30-4615-86f4-c64c8c4e7187,Escola A,702,392e517f07e4fc744cb3471e2b919d1a5913a96b59c5b392f5af1e7db16460e6,aluno,400,2,,42,finalizado,2026-06-30 19:13:23.227469-03
trabalhos,6ca89435-96b6-4d35-99f8-a5bf8f3a7adb,,,652cef9c24e4b98a5154e620ee503ee6595d04f490ea302b5b0320b7450e0652,aluno,0,,,,entregue,2026-06-30 19:34:40.31155-03
jogos,9149e321-9f63-487d-bc14-28d27e49bfbf,Escola A,702,4b1bf77ce2d054a09bdb99db5cedcf4cf5241f4821fdbb1b32b23ce9fac71d44,aluno,0,0,,0,em_andamento,2026-06-30 19:41:47.821726-03
trabalhos,02ec32d6-09f7-4812-8e3f-b22a9b7f3b12,,,652cef9c24e4b98a5154e620ee503ee6595d04f490ea302b5b0320b7450e0652,aluno,0,,,,entregue,2026-06-30 22:57:48.306319-03
jogos,6b284913-e82e-441f-9d38-e46c98c70a91,Escola A,706,1f68657c107d3187a64b279d875f93cdb3b1a0d2bbdcb801229341ce64e6eea2,aluno,0,0,,0,em_andamento,2026-07-01 00:14:41.218153-03
jogos,4f94411b-46d3-40fd-9615-9ab4f1ba7fea,Escola A,706,1f68657c107d3187a64b279d875f93cdb3b1a0d2bbdcb801229341ce64e6eea2,aluno,1000,10,,318,finalizado,2026-07-01 00:16:34.798443-03
jogos,d28987b5-0f49-403e-b52b-9117e556c1fc,Escola A,706,1f68657c107d3187a64b279d875f93cdb3b1a0d2bbdcb801229341ce64e6eea2,aluno,1000,10,,152,finalizado,2026-07-01 00:22:26.699099-03
jogos,92989d55-86ed-4838-acb3-84d659cf92df,Escola A,706,1f68657c107d3187a64b279d875f93cdb3b1a0d2bbdcb801229341ce64e6eea2,aluno,2000,10,,156,finalizado,2026-07-01 00:22:44.035659-03
jogos,602f6038-163b-4ef9-9587-62d6694b4703,Escola A,706,1f68657c107d3187a64b279d875f93cdb3b1a0d2bbdcb801229341ce64e6eea2,aluno,1800,9,,227,finalizado,2026-07-01 00:28:19.825128-03
jogos,e0228752-e560-4da8-aee2-fd130af53a15,Escola A,706,049439f13ee6dc654d81b047c3142b256cc57fe53fc68ad81c1dc87f26b2b778,aluno,0,0,,0,em_andamento,2026-07-01 00:34:41.542755-03
jogos,c28a3a53-4063-4bf1-a123-039475633ecd,Escola A,706,049439f13ee6dc654d81b047c3142b256cc57fe53fc68ad81c1dc87f26b2b778,aluno,0,0,,47,finalizado,2026-07-01 00:35:02.181692-03
jogos,bc595358-fb47-432f-97fe-ba4f98d9f9f4,Escola A,706,1f68657c107d3187a64b279d875f93cdb3b1a0d2bbdcb801229341ce64e6eea2,aluno,1800,9,,138,finalizado,2026-07-01 00:35:07.104652-03
jogos,3c1a8064-07e1-4f36-9a95-72f8a3345e53,Escola A,706,049439f13ee6dc654d81b047c3142b256cc57fe53fc68ad81c1dc87f26b2b778,aluno,0,0,,0,em_andamento,2026-07-01 00:36:14.169298-03
jogos,db7f7d54-d427-4b51-81c3-d4242fde5f31,Escola A,706,049439f13ee6dc654d81b047c3142b256cc57fe53fc68ad81c1dc87f26b2b778,aluno,0,0,,565,finalizado,2026-07-01 00:39:02.22316-03
jogos,3fbe380d-8280-4729-b32e-3dd216a0e62b,Escola A,706,049439f13ee6dc654d81b047c3142b256cc57fe53fc68ad81c1dc87f26b2b778,aluno,0,0,,0,em_andamento,2026-07-01 00:39:54.405305-03
jogos,705324de-01ec-4883-9201-f3e1ddea2b35,Escola A,706,049439f13ee6dc654d81b047c3142b256cc57fe53fc68ad81c1dc87f26b2b778,aluno,0,0,,23,finalizado,2026-07-01 00:41:56.962025-03
jogos,114222ed-b252-45c3-995f-8be241f21977,Escola A,706,1f68657c107d3187a64b279d875f93cdb3b1a0d2bbdcb801229341ce64e6eea2,aluno,2000,10,,281,finalizado,2026-07-01 00:42:30.61762-03
jogos,03b73810-9c8a-480a-88d9-087b72339cfc,Escola A,706,1f68657c107d3187a64b279d875f93cdb3b1a0d2bbdcb801229341ce64e6eea2,aluno,0,0,,0,em_andamento,2026-07-01 00:42:55.543643-03
jogos,9498766e-af18-48ea-a0bf-e96efabe86da,Escola A,706,049439f13ee6dc654d81b047c3142b256cc57fe53fc68ad81c1dc87f26b2b778,aluno,0,0,,13,finalizado,2026-07-01 00:43:47.656201-03
