source,ref_id,escola,turma,participante_hash,participante_tipo,pontos,acertos,total,tempo_seg,status,occurred_at
jogos,efd1ec9f-d797-4878-9f34-8ce988f12c5e,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,0,0,,126,finalizado,2026-08-17 16:03:14.889805-03
jogos,d8eb3096-cef5-4694-a767-1fb931d6734b,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,583,finalizado,2026-08-17 16:06:20.885286-03
jogos,505d06c7-34e7-47c5-8303-2adeec5af1b4,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,581,finalizado,2026-08-17 16:06:48.143881-03
jogos,99b5d2a9-9afd-4a4b-b4c0-3b2eae18feef,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,975,10,,571,finalizado,2026-08-17 16:07:16.526757-03
jogos,6706a711-d214-480d-a0db-30415180b957,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,584,finalizado,2026-08-17 16:07:54.070225-03
jogos,38a35752-0fa8-4461-bda2-1f9064469a92,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,0,0,,600,finalizado,2026-08-17 16:08:17.132662-03
jogos,e1d0260a-ac24-495c-a098-9491d8b4eedf,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,582,finalizado,2026-08-17 16:08:24.64881-03
jogos,4d1519ab-a9ef-426a-b9d1-bf7d0630040d,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,975,10,,571,finalizado,2026-08-17 16:08:56.573039-03
jogos,af96a14b-dd05-4b9e-9cb1-6110f565c81a,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,0,0,,0,em_andamento,2026-08-17 16:09:33.410206-03
jogos,3812085b-aa33-455f-aea9-694d0465d465,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,582,finalizado,2026-08-17 16:09:45.58412-03
jogos,03463000-832d-484a-9831-06b77dd4dd20,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,577,finalizado,2026-08-17 16:10:18.902485-03
jogos,6ec80509-03fd-4f91-87cf-94e340db1c81,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,582,finalizado,2026-08-17 16:11:05.598243-03
jogos,1d2fd064-6b9d-4b9e-80e3-94eeeea37ce5,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,583,finalizado,2026-08-17 16:12:41.730599-03
jogos,99b9434a-18b8-47fe-8aa4-e5c7904b37a0,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,582,finalizado,2026-08-17 16:13:28.97746-03
jogos,10e3ec44-2272-4048-8e9e-0fdf2327d4fb,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,975,10,,577,finalizado,2026-08-17 16:14:31.002817-03
jogos,473c27d9-fed2-41b6-ad7b-fd8e0323a33c,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,584,finalizado,2026-08-17 16:15:19.117797-03
jogos,89d1cb1c-ac74-4424-bda2-1b94d957e8e0,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,0,0,,0,em_andamento,2026-08-17 16:15:43.5366-03
jogos,69e1ba34-be08-4fc4-8c1f-fc6be2128f63,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,975,10,,581,finalizado,2026-08-17 16:15:47.417336-03
jogos,b2762de8-f024-4a25-a97f-da0d769b87c8,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,581,finalizado,2026-08-17 16:16:16.721577-03
jogos,b587915c-2e72-4273-9db7-d4ae2229c69e,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,579,finalizado,2026-08-17 16:17:03.36113-03
jogos,2fdd9a6a-52ff-48b9-a67b-da513fb8e991,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,581,finalizado,2026-08-17 16:17:46.314812-03
jogos,cda78f99-3888-4b9a-aa38-bf7bc2ba1dc1,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,580,finalizado,2026-08-17 16:18:38.794418-03
jogos,0d725af9-6bc1-45b9-9fc8-0ed7118871aa,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,575,finalizado,2026-08-17 19:45:36.760809-03
jogos,37f95b7c-ab7d-4d8f-8ff9-3923419614bc,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,0,0,,0,em_andamento,2026-08-17 19:46:18.443658-03
jogos,954a1b99-70aa-44ee-b2a2-31ab62957757,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,582,finalizado,2026-08-17 19:46:55.149749-03
jogos,c5834171-c7fc-4d7d-aeae-e70c5fb0993a,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,583,finalizado,2026-08-17 19:48:13.027915-03
jogos,30476e69-7cd5-4841-b379-37f8facba8bc,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,975,10,,577,finalizado,2026-08-17 19:49:25.368235-03
jogos,65a26209-2709-4890-8f39-f7f7daeaa0cf,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,584,finalizado,2026-08-17 19:49:57.172092-03
jogos,994b5f41-e9e5-48bf-9621-0955efcc5ceb,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,579,finalizado,2026-08-17 19:51:22.902245-03
jogos,38be3551-09b1-4880-ae03-49b1d87a2a2f,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,0,0,,0,em_andamento,2026-08-17 19:53:13.017186-03
jogos,b81c99d2-8437-4bc4-b792-58d4af0ef3aa,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,579,finalizado,2026-08-17 19:54:31.739533-03
jogos,efd29524-cd23-4991-ba8a-82b8577593fb,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,580,finalizado,2026-08-17 19:55:46.092639-03
jogos,d840cb67-85d2-4f33-8d3b-cdba1be6f039,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,584,finalizado,2026-08-17 19:56:17.54887-03
jogos,e1766d71-6e02-41e4-b66e-bc3f5349cbcc,Escola A,703,5eb050f8d72bd9905dee38d074ff58a3639c5f2504e704114fadb84c4de62d9d,aluno,1000,10,,582,finalizado,2026-08-17 19:56:45.076849-03
